place,date,min_msavi,max_msavi,mean_msavi,stDev_msavi,cloudcover
1,2020-02-02,0.6649463772773743,0.7437909841537476,0.7124017163326866,0.019245746103877925,0.3671223678086934
1,2020-02-07,0.6811452507972717,0.7181522250175476,0.7009888291358948,0.009864461256745907,0.8704473705668199
1,2020-02-12,0.6057090163230896,0.6600361466407776,0.6361966587995229,0.0134713195137133,0.3952328931344182
1,2020-02-17,0.5943567752838135,0.6464991569519043,0.6161188561665385,0.011725164185503076,0.43060131449448436
1,2020-02-22,0.6152817606925964,0.6359761357307434,0.6241531999487624,0.006042812840824286,0.40801710596210067
1,2020-02-27,0.6292015314102173,0.6796522736549377,0.645629291471682,0.012798233819622529,0.881318421740281
1,2020-03-03,0.5924547910690308,0.6341835260391235,0.6054910688023819,0.010151709647936066,0.3751263147906252
1,2020-03-08,0.5654383301734924,0.6604479551315308,0.5886431179548562,0.024811673385288658,0.32884341870483597
1,2020-03-13,0.6493023633956909,0.6819333434104919,0.6608283080552753,0.007598751014161977,0.8790763130313473
1,2020-03-18,0.582007646560669,0.6550559401512146,0.6015004123512068,0.0191476826951622,0.4508828936438811
1,2020-03-23,0.5807031393051147,0.6294658780097961,0.5967650146860826,0.012349489751143486,0.6701763162487432
1,2020-03-28,0.5438543558120728,0.6047250628471375,0.5615191930218748,0.015624980972097665,0.3619736833007712
1,2020-04-02,0.5367528200149536,0.5685116052627563,0.5488999940847096,0.008525746124809226,0.45296447057473027
1,2020-04-12,0.5571491718292236,0.5698336958885193,0.5634940894026506,0.0032560822730392344,0.9151184229474318
1,2020-04-22,0.5611498355865479,0.5972970724105835,0.5789960607102042,0.009226566137294492,0.36763815817080053
1,2020-04-27,0.6027995347976685,0.6731829047203064,0.6444431825688012,0.01862054518946114,0.4561328958523901
1,2020-05-02,0.6171272993087769,0.6619969010353088,0.6390474124958642,0.013888356208116567,0.6825921064928958
1,2020-05-07,0.6809135675430298,0.8842126727104187,0.7907484612966837,0.06589756530175357,0.38902499801234197
1,2020-05-12,0.6609899401664734,0.9325801134109497,0.8277624108289416,0.08098523493927118,0.3188684221945311
1,2020-05-22,0.6818369030952454,0.9109893441200256,0.8242867541940587,0.07027475496795094,0.3659157894159618
1,2020-05-27,0.6140509247779846,0.8075315952301025,0.7113582476189262,0.06481975327561258,0.43808026690232127
1,2020-06-01,0.6515354514122009,0.8558710217475891,0.786849856376648,0.05723528075600155,0.3280513153264398
1,2020-06-06,0.5411226153373718,0.6066757440567017,0.5842496329232265,0.016121346900788147,0.97084736510327
1,2020-06-11,0.6263779997825623,0.75116366147995,0.7101532236525887,0.031211886614949984,0.4193092082676134
1,2020-06-16,0.6106619238853455,0.7629370093345642,0.7011144302393258,0.0480464576183882,0.4202855229377746
1,2020-06-21,0.5167562365531921,0.5287308692932129,0.5240409531091388,0.0034483181722509784,0.24014605346478915
place,date,min_msavi,max_msavi,mean_msavi,stDev_msavi,cloudcover
2,2020-02-02,0.9076368808746338,0.9760859608650208,0.9466495911280315,0.014723442654252487,0.22917222243452823
2,2020-02-07,0.9045870900154114,0.9605334401130676,0.9387296665282476,0.0138290833003789,0.22931111166401522
2,2020-02-12,0.888394832611084,0.9472787976264954,0.9254732784770782,0.013992886075795736,0.8203127024665708
2,2020-02-17,0.7567848563194275,0.7926828265190125,0.778802574626983,0.006603318661353109,0.8606539709227427
2,2020-03-03,0.7557545900344849,0.8116354942321777,0.7897014655764142,0.013450631808571333,0.26501111142219064
2,2020-03-08,0.6182430982589722,0.7629345059394836,0.690394317346906,0.03321284807588898,1.0291301608085635
2,2020-03-18,0.5925091505050659,0.6324268579483032,0.6133767990838916,0.00794721412736513,0.3217555549409655
2,2020-03-23,0.575124979019165,0.5972608327865601,0.5841417199089413,0.005836588313885575,0.3832000006758977
2,2020-03-28,0.5720372200012207,0.5951404571533203,0.581124396551223,0.005264988961879615,0.5088500020995972
2,2020-04-02,0.5573006272315979,0.5978712439537048,0.5730998771531242,0.007487725254396568,0.5643333366939
2,2020-04-07,0.574226438999176,0.6058750748634338,0.5871061654317946,0.006469144883220079,0.6103666651816592
2,2020-04-12,0.561303973197937,0.5917336940765381,0.5734175112512376,0.00667266729108557,0.6218944456842211
2,2020-04-17,0.5611145496368408,0.5876572728157043,0.5708373889090519,0.005123920245842095,0.6250166647017948
2,2020-04-22,0.5627561807632446,0.6017777919769287,0.5791495934365289,0.009997744056002867,0.48127222392294144
2,2020-04-27,0.575838029384613,0.607009768486023,0.5918202570506508,0.007945418146205837,0.9494285697028751
2,2020-05-07,0.5585917830467224,0.5724866986274719,0.5651605394151475,0.0031109396756168134,0.6811388844535462
2,2020-05-17,0.5709788203239441,0.5969155430793762,0.5796037392010764,0.005282865009401204,0.8048722233091082
2,2020-05-22,0.5279140472412109,0.6005277633666992,0.554918977003249,0.020664294155074505,0.9418396770008025
2,2020-05-27,0.5678154230117798,0.5928986668586731,0.5764355545952209,0.004821519038539032,0.808649998808664
2,2020-06-01,0.5396758317947388,0.5825581550598145,0.5642350013293919,0.009972572993307722,0.9795634964155772
2,2020-06-21,0.5499259829521179,0.6114179491996765,0.5828547979158069,0.01660076410648896,1.098715882452707
place,date,min_msavi,max_msavi,mean_msavi,stDev_msavi,cloudcover
3,2020-02-03,0.9007970094680786,0.9478235244750977,0.9232994218667347,0.012521688812054538,0.31371666278157917
3,2020-02-08,0.46975868940353394,0.5681787133216858,0.5101441350721178,0.022020321689727923,1.238233339218866
3,2020-02-13,1.0343855619430542,1.099096417427063,1.0722768902778625,0.013704682247417659,0.2191333341456595
